Hgt_km	Lat	LonW	Temp_K	 Pres_Pa	Dens_kgm3	Uwind	Vwind
6.703	-10.3	195.5	86.6	1.04E+05	4.08E+00	0.23	0
6.727	-10.3	195.5	86.61	1.04E+05	4.07E+00	0.24	0
6.751	-10.3	195.5	86.58	1.04E+05	4.07E+00	0.25	0
6.776	-10.3	195.5	86.56	1.04E+05	4.07E+00	0.26	0
6.800	-10.3	195.5	86.54	1.04E+05	4.06E+00	0.26	0
6.824	-10.3	195.5	86.5	1.04E+05	4.06E+00	0.27	0
6.848	-10.3	195.5	86.5	1.04E+05	4.05E+00	0.28	0
6.872	-10.3	195.5	86.48	1.04E+05	4.05E+00	0.29	0
6.897	-10.3	195.5	86.46	1.03E+05	4.04E+00	0.3	0
6.921	-10.3	195.5	86.44	1.03E+05	4.04E+00	0.31	0
6.945	-10.3	195.5	86.42	1.03E+05	4.04E+00	0.31	0
6.970	-10.3	195.5	86.4	1.03E+05	4.03E+00	0.32	0
6.994	-10.3	195.5	86.37	1.03E+05	4.03E+00	0.33	0
7.018	-10.3	195.5	86.34	1.03E+05	4.02E+00	0.34	0
7.043	-10.3	195.5	86.31	1.03E+05	4.02E+00	0.35	0
7.067	-10.3	195.5	86.29	1.02E+05	4.02E+00	0.35	0
7.091	-10.3	195.5	86.26	1.02E+05	4.01E+00	0.36	0
7.116	-10.3	195.5	86.23	1.02E+05	4.01E+00	0.37	0
7.140	-10.3	195.5	86.21	1.02E+05	4.00E+00	0.38	0
7.164	-10.3	195.5	86.18	1.02E+05	4.00E+00	0.39	0
7.189	-10.3	195.5	86.16	1.02E+05	4.00E+00	0.4	0
7.213	-10.3	195.5	86.13	1.02E+05	3.99E+00	0.4	0
7.237	-10.3	195.5	86.1	1.02E+05	3.99E+00	0.41	0
7.262	-10.3	195.5	86.07	1.01E+05	3.98E+00	0.42	0
7.315	-10.3	195.5	86.02	1.01E+05	3.98E+00	0.44	0
7.340	-10.3	195.5	85.99	1.01E+05	3.97E+00	0.45	0
7.364	-10.3	195.5	85.96	1.01E+05	3.97E+00	0.45	0
7.389	-10.3	195.5	85.94	1.01E+05	3.96E+00	0.46	0
7.413	-10.3	195.5	85.94	1.01E+05	3.96E+00	0.47	0
7.438	-10.3	195.5	85.9	1.00E+05	3.95E+00	0.48	0
7.463	-10.3	195.5	85.88	1.00E+05	3.95E+00	0.49	0
7.487	-10.3	195.5	85.86	1.00E+05	3.95E+00	0.5	0
7.512	-10.3	195.5	85.83	1.00E+05	3.94E+00	0.5	0
7.536	-10.3	195.5	85.8	9.99E+04	3.93E+00	0.51	0
7.560	-10.3	195.5	85.8	9.98E+04	3.93E+00	0.52	0
7.585	-10.3	195.5	85.81	9.97E+04	3.93E+00	0.53	0
7.609	-10.3	195.5	85.8	9.95E+04	3.92E+00	0.54	0
7.633	-10.3	195.5	85.77	9.94E+04	3.92E+00	0.54	0
7.658	-10.3	195.5	85.73	9.93E+04	3.91E+00	0.55	0
7.682	-10.3	195.5	85.69	9.91E+04	3.91E+00	0.56	0
7.707	-10.3	195.5	85.69	9.90E+04	3.91E+00	0.57	0
7.731	-10.3	195.5	85.7	9.89E+04	3.90E+00	0.58	0
7.786	-10.3	195.5	85.65	9.86E+04	3.89E+00	0.6	0
7.810	-10.3	195.5	85.6	9.85E+04	3.89E+00	0.6	0
7.835	-10.3	195.5	85.56	9.83E+04	3.88E+00	0.61	0
7.859	-10.3	195.5	85.59	9.82E+04	3.88E+00	0.62	0
7.884	-10.3	195.5	85.57	9.81E+04	3.87E+00	0.63	0
7.909	-10.3	195.5	85.54	9.79E+04	3.87E+00	0.64	0
7.933	-10.3	195.5	85.53	9.78E+04	3.87E+00	0.64	0
7.958	-10.3	195.5	85.51	9.77E+04	3.86E+00	0.65	0
7.983	-10.3	195.5	85.49	9.76E+04	3.86E+00	0.66	0
8.008	-10.3	195.5	85.47	9.74E+04	3.85E+00	0.67	0
8.032	-10.3	195.5	85.46	9.73E+04	3.85E+00	0.68	0
8.057	-10.3	195.5	85.44	9.72E+04	3.84E+00	0.69	0
8.081	-10.3	195.5	85.41	9.70E+04	3.84E+00	0.69	0
8.106	-10.3	195.5	85.39	9.69E+04	3.84E+00	0.7	0
8.131	-10.3	195.5	85.37	9.68E+04	3.83E+00	0.71	0
8.156	-10.3	195.5	85.36	9.67E+04	3.83E+00	0.72	0
8.180	-10.3	195.5	85.34	9.65E+04	3.82E+00	0.73	0
8.205	-10.3	195.5	85.31	9.64E+04	3.82E+00	0.74	0
8.230	-10.3	195.5	85.28	9.63E+04	3.82E+00	0.74	0
8.255	-10.3	195.5	85.26	9.61E+04	3.81E+00	0.75	0
8.280	-10.3	195.5	85.24	9.60E+04	3.81E+00	0.76	0
8.305	-10.3	195.5	85.22	9.59E+04	3.80E+00	0.77	0
8.330	-10.3	195.5	85.2	9.58E+04	3.80E+00	0.78	0
8.355	-10.3	195.5	85.17	9.56E+04	3.79E+00	0.79	0
8.380	-10.3	195.5	85.15	9.55E+04	3.79E+00	0.79	0
8.405	-10.3	195.5	85.13	9.54E+04	3.79E+00	0.8	0
8.430	-10.3	195.5	85.11	9.53E+04	3.78E+00	0.81	0
8.484	-10.3	195.5	85.08	9.50E+04	3.77E+00	0.83	0
8.508	-10.3	195.5	85.05	9.48E+04	3.77E+00	0.84	0
8.533	-10.3	195.5	85.04	9.47E+04	3.76E+00	0.85	0
8.558	-10.3	195.5	85.03	9.46E+04	3.76E+00	0.85	0
8.583	-10.3	195.5	84.99	9.45E+04	3.76E+00	0.86	0
8.608	-10.3	195.5	84.97	9.44E+04	3.75E+00	0.87	0
8.633	-10.3	195.5	84.95	9.42E+04	3.75E+00	0.88	0
8.658	-10.3	195.5	84.93	9.41E+04	3.74E+00	0.89	0
8.683	-10.3	195.5	84.9	9.40E+04	3.74E+00	0.89	0
8.708	-10.3	195.5	84.88	9.38E+04	3.73E+00	0.9	0
8.733	-10.3	195.5	84.85	9.37E+04	3.73E+00	0.91	0
8.758	-10.3	195.5	84.84	9.36E+04	3.73E+00	0.92	0
8.784	-10.3	195.5	84.82	9.35E+04	3.72E+00	0.93	0
8.809	-10.3	195.5	84.8	9.33E+04	3.72E+00	0.94	0
8.834	-10.3	195.5	84.78	9.32E+04	3.71E+00	0.94	0
8.859	-10.3	195.5	84.76	9.31E+04	3.71E+00	0.95	0
8.884	-10.3	195.5	84.74	9.30E+04	3.70E+00	0.96	0
